ID,dataset,model,noise,noise-args,robust-method,loss-args,eval_loss,eval_accuracy,epochs,batch_size,best-hyperparameters,seed
LNSD-27,german,simple-mlp,uniform,0.3,boot-soft,[],0.6381163597,0.6549999714,10,32,"{'num_layers': 1, 'hidden_size_0': 19, 'dropout': 0.08708616127945255}",777
LNSD-68,german,simple-mlp,uniform,0,forward,"[[[1.0, 0.0], [0.0, 1.0]]]",0.5048085451,0.7599999905,10,32,"{'num_layers': 1, 'hidden_size_0': 39, 'dropout': 0.12010978548317536}",777
LNSD-3,german,simple-mlp,uniform,0.05,forward,"[[[0.95, 0.05], [0.05, 0.95]]]",0.5390672088,0.7300000191,10,32,"{'num_layers': 1, 'hidden_size_0': 18, 'dropout': 0.17319329840122097}",777
LNSD-10,german,simple-mlp,uniform,0.1,forward,"[[[0.9, 0.1], [0.1, 0.9]]]",0.5310621262,0.7400000095,10,32,"{'num_layers': 1, 'hidden_size_0': 68, 'dropout': 0.05849625576457101}",777
LNSD-14,german,simple-mlp,uniform,0.15,forward,"[[[0.85, 0.15], [0.15, 0.85]]]",0.5731300116,0.6850000024,10,32,"{'num_layers': 2, 'hidden_size_0': 9, 'hidden_size_1': 40, 'dropout': 0.06866810764438736}",777
LNSD-19,german,simple-mlp,uniform,0.2,forward,"[[[0.8, 0.2], [0.2, 0.8]]]",0.564408958,0.6999999881,10,32,"{'num_layers': 2, 'hidden_size_0': 39, 'hidden_size_1': 45, 'dropout': 0.15186947332093292}",777
LNSD-24,german,simple-mlp,uniform,0.25,forward,"[[[0.75, 0.25], [0.25, 0.75]]]",0.5851942301,0.7099999785,10,32,"{'num_layers': 1, 'hidden_size_0': 58, 'dropout': 0.17355609809388284}",777
LNSD-29,german,simple-mlp,uniform,0.3,forward,"[[[0.7, 0.3], [0.3, 0.7]]]",0.6308748126,0.6750000119,10,32,"{'num_layers': 3, 'hidden_size_0': 30, 'hidden_size_1': 15, 'hidden_size_2': 17, 'dropout': 0.10779429337111136}",777
LNSD-61,german,simple-mlp,uniform,0,none,[],0.5048086047,0.7599999905,10,32,"{'num_layers': 1, 'hidden_size_0': 39, 'dropout': 0.12010978548317536}",777
LNSD-6,german,simple-mlp,uniform,0.05,none,[],0.5071707368,0.7400000095,10,32,"{'num_layers': 3, 'hidden_size_0': 46, 'hidden_size_1': 18, 'hidden_size_2': 11, 'dropout': 0.16813811338179835}",777
LNSD-5,german,simple-mlp,uniform,0.1,none,[],0.527125597,0.7599999905,10,32,"{'num_layers': 3, 'hidden_size_0': 9, 'hidden_size_1': 28, 'hidden_size_2': 80, 'dropout': 0.18539940954997894}",777
LNSD-12,german,simple-mlp,uniform,0.15,none,[],0.5638224483,0.7049999833,10,32,"{'num_layers': 2, 'hidden_size_0': 10, 'hidden_size_1': 35, 'dropout': 0.024467556661783848}",777
LNSD-16,german,simple-mlp,uniform,0.2,none,[],0.5658016205,0.7149999738,10,32,"{'num_layers': 1, 'hidden_size_0': 11, 'dropout': 0.12623286596411068}",777
LNSD-20,german,simple-mlp,uniform,0.25,none,[],0.586679399,0.6700000167,10,32,"{'num_layers': 3, 'hidden_size_0': 108, 'hidden_size_1': 24, 'hidden_size_2': 19, 'dropout': 0.07909921195167419}",777
LNSD-26,german,simple-mlp,uniform,0.3,none,[],0.6054828763,0.6949999928,10,32,"{'num_layers': 3, 'hidden_size_0': 48, 'hidden_size_1': 50, 'hidden_size_2': 9, 'dropout': 0.12664305085765618}",777
